,userId,productId,score
0,A03371112IP0NDM0XC0O3,B0009TRITS,5.0
1,A078888874MAMNVAK6R3,B000E7QYNG,5.0
2,A100TK3LWL1SHF,B00005YX2Z,5.0
3,A100UEKX4SADQ,B0007CXT68,1.0
4,A100WO06OQR8BQ,B00076KL38,5.0
5,A100WO06OQR8BQ,B0008IT0GE,4.0
6,A100WO06OQR8BQ,B000F5416E,1.0
7,A101DH2STFPZSZ,B0009ZENBS,5.0
8,A101F6VY7VNYKV,B000P6K91O,5.0
9,A101H63S27NDFH,B0002DI8MW,4.0
10,A10250WFWWKGWV,B0000BXHL1,5.0
11,A1027BOR2MECKT,B000Q3S990,4.0
12,A102FMLNCK44GK,B000FJA0HO,3.0
13,A102IOJ2W00IZO,B00004SZ9D,5.0
14,A102JMDE51ZRHK,B000HHQ7FS,1.0
15,A103CLYVA1DOQ,B0000VUN8I,5.0
16,A103EZHSV5WK3C,B000P9UOAC,5.0
17,A103IGRMCJ217P,B000EM9DG6,1.0
18,A103IPWS3THOX2,B00030CC1M,5.0
19,A103KP42L3JQSO,B00004TBJ7,1.0
20,A1043J5KKJ33I7,B00004SZ9D,1.0
21,A104A9R0BX7821,B0000775G0,5.0
22,A104C2IM62HJSL,B00008BFSU,5.0
23,A104D3DISNETJX,B000ERETII,4.0
24,A104KDJ8K9IAO8,B0007WFG2I,5.0
25,A104Q1OBRNDOQH,B000A0QUY0,5.0
26,A104VHQ06KFLDT,B0007KY5JU,4.0
27,A1057STL4JPAY0,B000QEAR76,5.0
28,A105AM7OL9INE7,B000KGHAMU,5.0
29,A105PYVTGPDUXE,B000BQQMJQ,1.0
30,A106413IIT09YA,B000HJ7AIY,1.0
31,A1066TFSIT6MCQ,B00004S4S6,4.0
32,A106CIK0VS6X0Y,B00005Y0ID,2.0
33,A106N15ENXRXKZ,B000H7CUSQ,1.0
34,A1071Y579S7D28,B00004SZ9D,5.0
35,A107QV9MY17RFX,B00005YX30,1.0
36,A10803KGD3C1Q,B000HJ7AIY,2.0
37,A108B6PV0HH9UA,B000E5T71E,5.0
38,A108EILAWOBZ22,B000FGC74Q,5.0
39,A108R4YWV3EADS,B000KL4LVI,5.0
40,A10927TXG5YGVH,B000CFOW3O,4.0
41,A1093NW5UX2EO8,B0002X7T22,5.0
42,A1099BI73OOFLI,B00080OD9Q,5.0
43,A109E01LB4H38F,B000P9UOAC,5.0
44,A109SFN60OJQNJ,B0000BXHL0,4.0
45,A109TAQQZNE9PP,B000MLDC0W,3.0
46,A109V0DVE802H3,B000BYP8G6,2.0
47,A109V2F8ZIA3ZN,B0007XXNRM,5.0
48,A109ZMUWIQ1HN4,B0000BYEMD,3.0
